what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1422719742610
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1422719742611
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1422719742611
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1422719742612
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1422719742612
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1422719742612
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1422719742613
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1422719742613
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1422719742613
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1422719742613
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1422719742614
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1422719742614
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1422719742614
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1422719742615
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1422719742615
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1422719742616
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1422719742616
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1422719742616
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1422719742616
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1422719742616
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1422719742617
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1422719742617
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1422719742617
os,sysinfo,,,"win32",1422719742619
arch,sysinfo,,,"x86",1422719742619
ws,sysinfo,,,"win32",1422719742619
locale,sysinfo,,,"en_US",1422719742619
processors,sysinfo,,,"8",1422719742619
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1422719742619
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1422719742619
java.specification.name,sysinfo,,,"Java Platform API Specification",1422719742619
